pca1,pca2,labels,col
0.198541505336891,-0.360026547649992,Height,#050505
-0.0730540027629582,-0.448029138126862,Crown diameter,#050505
0.260625025104139,-0.261456508307633,Bark thickness,#050505
-0.242963728199214,0.00885313582318067,Wood density,#050505
-0.335382765823192,0.260195663573363,SLA,#050505
-0.348551691427598,0.156047449331515,Leaf N,#050505
-0.348875007590143,-0.138062038691316,Leaf NP,#050505
-0.410942615451933,-0.0177421482699436,Stem conduit diameter,#050505
-0.227258809901974,-0.422040812581302,Root depth,#050505
-0.17429199164248,-0.373843761653086,Seed mass,#050505
-0.218334273878009,-0.347994803530947,Temperature,#58038c
-0.0415255931934791,0.21087107597469,Water availability,#9e7306
0.415104355572733,-0.0796228165140917,Gymnosperm,#1c6915
